取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
short,2010-03-19,70.0,100,76,2010-03-24,67.4,259.99999999999943,0.4333333333333324,3.714285714285706,3
long,2010-04-27,64.0,100,58,2010-05-06,59,-500.0,-0.8333333333333334,-7.8125,4
short,2010-05-14,65.0,100,71,2010-05-17,71,-600.0,-1.0,-9.230769230769232,2
short,2010-05-18,65.6,100,72,2010-05-20,71,-540.0000000000006,-0.8437500000000001,-8.23170731707318,3
long,2010-06-29,114.7,100,100,2010-07-01,93.0,-2170.0000000000005,-1.476190476190476,-18.91891891891892,3
long,2010-07-02,92.5,100,78,2010-07-16,84,-850.0,-0.5862068965517241,-9.18918918918919,11
long,2010-07-20,81.0,100,74,2010-07-29,73.6,-740.0000000000006,-1.057142857142858,-9.13580246913581,8
short,2010-08-05,103.5,100,107,2010-08-05,107,-350.0,-1.0,-3.3816425120772946,1
short,2010-08-10,90.8,100,97,2010-08-12,81.19999999999999,960.0000000000009,1.5483870967741942,10.572687224669613,3
short,2010-08-17,96.0,100,104,2010-08-18,104,-800.0,-1.0,-8.333333333333332,2
short,2010-08-19,114.9,100,123,2010-09-02,101.2,1370.0000000000002,1.6913580246913595,11.92341166231506,11
long,2010-10-05,114.0,100,104,2010-10-07,101.10000000000001,-1289.999999999999,-1.2899999999999991,-11.315789473684204,3
long,2010-10-12,99.10000000000001,100,90,2010-10-20,148.0,4889.999999999999,5.373626373626368,49.3440968718466,6
long,2010-11-08,125.0,100,105,2010-11-18,105,-2000.0,-1.0,-16.0,9
long,2010-12-08,105.5,100,98,2010-12-15,100,-550.0,-0.7333333333333333,-5.213270142180095,6
long,2010-12-16,100.0,100,94,2010-12-17,95,-500.0,-0.8333333333333334,-5.0,2
short,2011-01-17,99.0,100,104,2011-01-19,94.0,500.0,1.0,5.05050505050505,3
short,2011-05-13,58.0,100,62,2011-05-16,58.0,0.0,0.0,0.0,2
short,2011-05-24,62.5,100,66,2011-05-26,54.5,800.0,2.2857142857142856,12.8,3
short,2011-07-28,57.0,100,59,2011-08-02,61.5,-450.0,-2.25,-7.894736842105263,4
long,2011-08-16,50.6,100,47,2011-08-30,47.6,-300.0,-0.833333333333333,-5.928853754940711,9
