コード,総損益,勝ち数,負け数,分け数,勝率,平均損益,PF,総R倍数,平均R倍数,総損益率,平均損益率,平均期間
1738,-5550.0,1,8,0,0.1111111111111111,-616.6666666666666,0.06722689075630252,-11.858225108225108,-1.3175805675805676,-31.959174887349945,-3.551019431927772,4.111111111111111
1777,2900.0,4,5,1,0.4,290.0,2.526315789473684,4.375,0.4375,25.702280829352958,2.5702280829352957,3.1
1869,-2400.0,0,1,0,0.0,-2400.0,0.0,-4.8,-4.8,-5.429864253393665,-5.429864253393665,2.0
1892,15000.0,3,0,0,1.0,5000.0,-,4.943977591036415,1.6479925303454717,14.902932119426964,4.967644039808988,6.666666666666667
2467,-890.0000000000011,7,10,0,0.4117647058823529,-52.35294117647066,0.7442528735632181,-0.11881766194066534,-0.006989274231803844,-11.290723760298775,-0.6641602211940456,3.3529411764705883
3032,-104.99999999999983,2,4,0,0.3333333333333333,-17.49999999999997,0.9384164222873902,1.388053613053613,0.23134226884226883,4.177229227939825,0.6962048713233041,3.3333333333333335
3260,-500.0,1,2,0,0.3333333333333333,-166.66666666666666,0.4444444444444444,-0.7792207792207791,-0.2597402597402597,-1.254356776267554,-0.418118925422518,5.333333333333333
3346,-2860.000000000002,6,14,1,0.2857142857142857,-136.1904761904763,0.7542955326460481,-2.404204449078852,-0.11448592614661199,-32.1815266597852,-1.5324536504659618,4.666666666666667
3384,8860.0,4,5,0,0.4444444444444444,984.4444444444445,1.948608137044968,8.06261961722488,0.8958466241360978,48.3945249866165,5.377169442957389,4.333333333333333
3442,29000.0,7,2,2,0.6363636363636364,2636.3636363636365,5.833333333333333,11.133063370275647,1.0120966700250589,72.78712471569615,6.617011337790559,4.545454545454546
3739,-464.9999999999999,5,8,0,0.38461538461538464,-35.76923076923076,0.8680851063829788,0.39609967884353536,0.030469206064887337,-4.541336289922839,-0.3493335607632953,5.153846153846154
3775,8193.758890366076,4,1,1,0.6666666666666666,1365.6264817276794,6.205833543531095,5.714704141842887,0.9524506903071478,24.37817571955973,4.063029286593289,5.0
3808,2600.0,5,5,1,0.45454545454545453,236.36363636363637,1.3687943262411348,2.4514170040485825,0.22285609127714387,7.334818167688583,0.666801651608053,3.6363636363636362
5342,12600.0,3,2,1,0.5,2100.0,6.25,9.944444444444445,1.6574074074074074,35.927237721592554,5.987872953598759,3.5
5343,-4300.0,4,9,0,0.3076923076923077,-330.7692307692308,0.18867924528301888,-10.423809523809522,-0.8018315018315018,-21.433769863952207,-1.6487515279963236,2.769230769230769
5607,-2300.0,2,5,0,0.2857142857142857,-328.57142857142856,0.5490196078431373,-2.1071428571428568,-0.30102040816326525,-6.694682583282207,-0.9563832261831724,3.4285714285714284
5979,6000.0,4,1,0,0.8,1200.0,1.2,-2.611111111111111,-0.5222222222222223,1.4225677540894939,0.28451355081789875,4.4
6111,-900.0,1,1,0,0.5,-450.0,0.8163265306122449,-0.11111111111111116,-0.05555555555555558,-0.6350877192982454,-0.3175438596491227,2.5
6142,-11400.0,0,6,0,0.0,-1900.0,0.0,-6.465329991645781,-1.0775549986076303,-14.489794452645365,-2.4149657421075608,2.6666666666666665
6439,24400.0,4,4,2,0.4,2440.0,4.696969696969697,7.808782384869341,0.780878238486934,66.42844140308644,6.642844140308644,3.3
6623,15600.0,6,4,0,0.6,1560.0,1.8715083798882681,3.5789201633277434,0.35789201633277434,11.709140603636635,1.1709140603636636,3.4
6655,2800.0,2,1,0,0.6666666666666666,933.3333333333334,2.272727272727273,1.4166666666666665,0.47222222222222215,5.608108108108109,1.8693693693693696,1.6666666666666667
6846,14000.0,3,2,0,0.6,2800.0,2.272727272727273,1.522298393041428,0.3044596786082856,17.056151838760535,3.4112303677521068,2.6
7485,-14650.0,0,2,0,0.0,-7325.0,0.0,-1.9090909090909092,-0.9545454545454546,-6.213375355574977,-3.1066876777874883,7.0
7870,-1400.0,0,2,0,0.0,-700.0,0.0,-2.0,-1.0,-4.793028322440087,-2.3965141612200433,7.0
7950,39000.0,1,0,1,0.5,19500.0,-,3.25,1.625,7.039711191335741,3.5198555956678703,2.5
8145,19000.0,2,1,0,0.6666666666666666,6333.333333333333,20.0,2.8984763681592036,0.9661587893864012,8.726320627729079,2.9087735425763594,3.0
8190,-3700.0,0,3,0,0.0,-1233.3333333333333,0.0,-3.0,-1.0,-4.47527187698933,-1.4917572923297768,1.6666666666666667
9357,5600.0,1,2,0,0.3333333333333333,1866.6666666666667,2.076923076923077,3.6296296296296298,1.2098765432098766,10.591508684878857,3.530502894959619,5.333333333333333
9359,-1300.0,0,3,0,0.0,-433.3333333333333,0.0,-2.166666666666667,-0.7222222222222223,-3.101969135844909,-1.033989711948303,4.0
9402,-1700.0,0,1,0,0.0,-1700.0,0.0,-1.0,-1.0,-3.3797216699801194,-3.3797216699801194,8.0
9643,72000.0,2,0,0,1.0,36000.0,-,5.538461538461538,2.769230769230769,10.432773109243698,5.216386554621849,3.0
9664,15100.0,4,4,0,0.5,1887.5,1.4092140921409213,-0.11390298916051708,-0.014237873645064635,5.287518967624178,0.6609398709530222,2.25
